Hubs				Lower bound1		Lower bound2		Current_obj_fun		Best_obj_fun
[1,14,18]      		9429771511.869		-----          		NaN				9076060742.490
[1,14,19]      		10225599462.400		-----          		NaN				9076060742.490
[1,14,20]      		9758190330.436		-----          		NaN				9076060742.490
[1,14,21]      		9474054617.272		-----          		NaN				9076060742.490
[1,14,22]      		9954437048.100		-----          		NaN				9076060742.490
[1,14,23]      		10164052649.787		-----          		NaN				9076060742.490
[1,14,24]      		10514876462.822		-----          		NaN				9076060742.490
[1,15,16]      		10905183259.925		-----          		NaN				9076060742.490
[1,15,17]      		10890423638.321		-----          		NaN				9076060742.490
[1,15,18]      		9377126683.991		-----          		NaN				9076060742.490
[1,15,19]      		10513550759.687		-----          		NaN				9076060742.490
[1,15,20]      		9719268444.377		-----          		NaN				9076060742.490
[1,15,21]      		9474326765.867		-----          		NaN				9076060742.490
[1,15,22]      		10004457069.143		-----          		NaN				9076060742.490
[1,15,23]      		10947802091.749		-----          		NaN				9076060742.490
[1,15,24]      		10979920183.881		-----          		NaN				9076060742.490
[1,16,17]      		12909685962.636		-----          		NaN				9076060742.490
[1,16,18]      		9929986738.413		-----          		NaN				9076060742.490
[1,16,19]      		11650190538.539		-----          		NaN				9076060742.490
[1,16,20]      		9825318224.531		-----          		NaN				9076060742.490
[1,16,21]      		10285757547.558		-----          		NaN				9076060742.490
[1,16,22]      		10949808792.462		-----          		NaN				9076060742.490
[1,16,23]      		12186114755.046		-----          		NaN				9076060742.490
[1,16,24]      		12717825856.431		-----          		NaN				9076060742.490
[1,17,18]      		9942591316.353		-----          		NaN				9076060742.490
[1,17,19]      		11661616288.341		-----          		NaN				9076060742.490
[1,17,20]      		9836300569.263		-----          		NaN				9076060742.490
[1,17,21]      		10312695995.858		-----          		NaN				9076060742.490
[1,17,22]      		10934033330.591		-----          		NaN				9076060742.490
[1,17,23]      		12158374257.596		-----          		NaN				9076060742.490
[1,17,24]      		12713646558.228		-----          		NaN				9076060742.490
[1,18,19]      		9469363547.027		-----          		NaN				9076060742.490
[1,18,21]      		9845227406.955		-----          		NaN				9076060742.490
[1,18,22]      		9946266563.880		-----          		NaN				9076060742.490
[1,18,23]      		9650371236.995		-----          		NaN				9076060742.490
[1,18,24]      		9976745083.470		-----          		NaN				9076060742.490
[1,19,20]      		9795419247.123		-----          		NaN				9076060742.490
[1,19,21]      		9626116067.265		-----          		NaN				9076060742.490
[1,19,22]      		10295003086.167		-----          		NaN				9076060742.490
[1,19,23]      		11382785317.394		-----          		NaN				9076060742.490
[1,19,24]      		11789536702.247		-----          		NaN				9076060742.490
[1,20,22]      		9215773451.739		-----          		NaN				9076060742.490
[1,20,23]      		9773671785.071		-----          		NaN				9076060742.490
[1,20,24]      		9950245488.290		-----          		NaN				9076060742.490
[1,21,22]      		10322132991.875		-----          		NaN				9076060742.490
[1,21,23]      		9860931692.535		-----          		NaN				9076060742.490
[1,21,24]      		10205231229.967		-----          		NaN				9076060742.490
[1,22,23]      		10559272563.911		-----          		NaN				9076060742.490
[1,22,24]      		10942648866.051		-----          		NaN				9076060742.490
[1,23,24]      		12200744640.482		-----          		NaN				9076060742.490
[2,3,4]        		10569708568.324		-----          		NaN				9076060742.490
[2,3,5]        		10294139775.179		-----          		NaN				9076060742.490
[2,3,6]        		9988896317.756		-----          		NaN				9076060742.490
[2,3,7]        		9550398860.440		-----          		NaN				9076060742.490
[2,3,8]        		10459090037.392		-----          		NaN				9076060742.490
[2,3,9]        		10201058681.101		-----          		NaN				9076060742.490
[2,3,10]       		9965759192.214		-----          		NaN				9076060742.490
[2,3,11]       		9480158939.348		-----          		NaN				9076060742.490
[2,3,12]       		10301098882.933		-----          		NaN				9076060742.490
[2,3,13]       		10561449868.080		-----          		NaN				9076060742.490
[2,3,14]       		10655099456.285		-----          		NaN				9076060742.490
[2,3,15]       		10399951601.220		-----          		NaN				9076060742.490
[2,3,16]       		10392493800.529		-----          		NaN				9076060742.490
[2,3,17]       		10152792675.921		-----          		NaN				9076060742.490
[2,3,18]       		9530999239.601		-----          		NaN				9076060742.490
[2,3,19]       		10138006850.752		-----          		NaN				9076060742.490
[2,3,20]       		10425374564.599		-----          		NaN				9076060742.490
[2,3,21]       		9598213521.412		-----          		NaN				9076060742.490
[2,3,22]       		10111495295.868		-----          		NaN				9076060742.490
[2,3,23]       		10471506936.844		-----          		NaN				9076060742.490
[2,3,24]       		10090680283.410		-----          		NaN				9076060742.490
[2,4,5]        		10920666060.801		-----          		NaN				9076060742.490
[2,4,6]        		9988758074.841		-----          		NaN				9076060742.490
[2,4,7]        		9472581565.501		-----          		NaN				9076060742.490
[2,4,8]        		10961570026.336		-----          		NaN				9076060742.490
[2,4,9]        		10264372093.305		-----          		NaN				9076060742.490
[2,4,10]       		9881561718.458		-----          		NaN				9076060742.490
[2,4,11]       		9391814982.235		-----          		NaN				9076060742.490
[2,4,12]       		10421360691.058		-----          		NaN				9076060742.490
[2,4,13]       		10925990245.902		-----          		NaN				9076060742.490
[2,4,14]       		10397012214.991		-----          		NaN				9076060742.490
[2,4,15]       		10627906950.349		-----          		NaN				9076060742.490
[2,4,16]       		10756886296.978		-----          		NaN				9076060742.490
[2,4,17]       		10618286401.760		-----          		NaN				9076060742.490
[2,4,18]       		9430840768.823		-----          		NaN				9076060742.490
[2,4,19]       		10742626615.630		-----          		NaN				9076060742.490
[2,4,20]       		10210852376.002		-----          		NaN				9076060742.490
[2,4,21]       		9527561762.481		-----          		NaN				9076060742.490
[2,4,22]       		10082244577.655		-----          		NaN				9076060742.490
[2,4,23]       		10867673570.401		-----          		NaN				9076060742.490
[2,4,24]       		10628728798.519		-----          		NaN				9076060742.490
[2,5,6]        		9921322673.080		-----          		NaN				9076060742.490
[2,5,7]        		9542793363.170		-----          		NaN				9076060742.490
[2,5,8]        		11432891628.071		-----          		NaN				9076060742.490
[2,5,9]        		10267978190.214		-----          		NaN				9076060742.490
[2,5,10]       		9788323672.378		-----          		NaN				9076060742.490
[2,5,11]       		9579213584.202		-----          		NaN				9076060742.490
[2,5,12]       		10234782487.200		-----          		NaN				9076060742.490
[2,5,13]       		11315415100.535		-----          		NaN				9076060742.490
[2,5,14]       		10448507279.505		-----          		NaN				9076060742.490
[2,5,15]       		10601193951.946		-----          		NaN				9076060742.490
[2,5,16]       		11409832047.416		-----          		NaN				9076060742.490
[2,5,17]       		11300919521.293		-----          		NaN				9076060742.490
[2,5,18]       		9588824809.502		-----          		NaN				9076060742.490
[2,5,19]       		11519486271.953		-----          		NaN				9076060742.490
[2,5,20]       		10043804450.710		-----          		NaN				9076060742.490
[2,5,21]       		9730373630.021		-----          		NaN				9076060742.490
[2,5,22]       		10369400532.620		-----          		NaN				9076060742.490
[2,5,23]       		11162532314.067		-----          		NaN				9076060742.490
[2,5,24]       		11290419641.143		-----          		NaN				9076060742.490
[2,6,7]        		10793148740.143		-----          		NaN				9076060742.490
[2,6,8]        		10009559992.712		-----          		NaN				9076060742.490
[2,6,9]        		11582590076.754		-----          		NaN				9076060742.490
[2,6,10]       		10656524833.754		-----          		NaN				9076060742.490
[2,6,11]       		10706935674.146		-----          		NaN				9076060742.490
[2,6,12]       		10723562978.191		-----          		NaN				9076060742.490
[2,6,13]       		11121211491.006		-----          		NaN				9076060742.490
[2,6,14]       		10817941649.584		-----          		NaN				9076060742.490
[2,6,15]       		11285000266.109		-----          		NaN				9076060742.490
[2,6,16]       		10537821621.712		-----          		NaN				9076060742.490
[2,6,17]       		10275369097.930		-----          		NaN				9076060742.490
[2,6,18]       		10791875723.863		-----          		NaN				9076060742.490
[2,6,19]       		9892000116.851		-----          		NaN				9076060742.490
[2,6,20]       		10283074544.666		-----          		NaN				9076060742.490
[2,6,21]       		10706849120.193		-----          		NaN				9076060742.490
[2,6,22]       		11077423042.844		-----          		NaN				9076060742.490
[2,6,23]       		11029336903.856		-----          		NaN				9076060742.490
[2,6,24]       		10060621114.637		-----          		NaN				9076060742.490
[2,7,8]        		9646260603.698		-----          		NaN				9076060742.490
[2,7,9]        		10906256401.418		-----          		NaN				9076060742.490
[2,7,10]       		10309644854.457		-----          		NaN				9076060742.490
[2,7,11]       		11311593315.690		-----          		NaN				9076060742.490
[2,7,12]       		10098109013.067		-----          		NaN				9076060742.490
[2,7,13]       		10925072778.984		-----          		NaN				9076060742.490
[2,7,14]       		10821036641.736		-----          		NaN				9076060742.490
[2,7,15]       		10622387059.024		-----          		NaN				9076060742.490
[2,7,16]       		10352302139.241		-----          		NaN				9076060742.490
[2,7,17]       		10015678114.061		-----          		NaN				9076060742.490
[2,7,18]       		11444060909.229		-----          		NaN				9076060742.490
[2,7,19]       		9491823444.307		-----          		NaN				9076060742.490
[2,7,20]       		9804676311.291		-----          		NaN				9076060742.490
[2,7,21]       		11325873568.285		-----          		NaN				9076060742.490
[2,7,22]       		11540775911.618		-----          		NaN				9076060742.490
[2,7,23]       		10710826575.268		-----          		NaN				9076060742.490
[2,7,24]       		9705857788.920		-----          		NaN				9076060742.490
[2,8,9]        		10321065539.011		-----          		NaN				9076060742.490
[2,8,10]       		9954563499.591		-----          		NaN				9076060742.490
[2,8,11]       		9658385432.263		-----          		NaN				9076060742.490
[2,8,12]       		10324838221.802		-----          		NaN				9076060742.490
[2,8,13]       		11193489164.357		-----          		NaN				9076060742.490
[2,8,14]       		10595365367.905		-----          		NaN				9076060742.490
[2,8,15]       		10614642955.182		-----          		NaN				9076060742.490
[2,8,16]       		11220642171.064		-----          		NaN				9076060742.490
[2,8,17]       		11094448965.334		-----          		NaN				9076060742.490
[2,8,18]       		9686301975.155		-----          		NaN				9076060742.490
[2,8,19]       		11239528770.087		-----          		NaN				9076060742.490
[2,8,20]       		10213591192.664		-----          		NaN				9076060742.490
[2,8,21]       		9803348269.271		-----          		NaN				9076060742.490
[2,8,22]       		10412540079.161		-----          		NaN				9076060742.490
[2,8,23]       		11045925275.581		-----          		NaN				9076060742.490
[2,8,24]       		11059992941.631		-----          		NaN				9076060742.490
[2,9,10]       		10701068052.657		-----          		NaN				9076060742.490
[2,9,11]       		10979669493.954		-----          		NaN				9076060742.490
[2,9,12]       		10996135553.736		-----          		NaN				9076060742.490
[2,9,13]       		11817033599.391		-----          		NaN				9076060742.490
[2,9,14]       		11002931096.488		-----          		NaN				9076060742.490
[2,9,15]       		11934624103.818		-----          		NaN				9076060742.490
[2,9,16]       		11085390665.499		-----          		NaN				9076060742.490
[2,9,17]       		10768290246.739		-----          		NaN				9076060742.490
[2,9,18]       		11014845653.163		-----          		NaN				9076060742.490
[2,9,19]       		10266027045.339		-----          		NaN				9076060742.490
[2,9,20]       		10452578544.786		-----          		NaN				9076060742.490
[2,9,21]       		11149664959.644		-----          		NaN				9076060742.490
[2,9,22]       		11594484651.892		-----          		NaN				9076060742.490
[2,9,23]       		11723814130.897		-----          		NaN				9076060742.490
[2,9,24]       		10522620091.132		-----          		NaN				9076060742.490
[2,10,11]      		10077264270.295		-----          		NaN				9076060742.490
[2,10,12]      		10466891652.660		-----          		NaN				9076060742.490
[2,10,13]      		10485016073.648		-----          		NaN				9076060742.490
[2,10,14]      		10859885513.865		-----          		NaN				9076060742.490
[2,10,15]      		10571409270.119		-----          		NaN				9076060742.490
[2,10,16]      		10074636577.671		-----          		NaN				9076060742.490
[2,10,17]      		9837255976.856		-----          		NaN				9076060742.490
[2,10,18]      		10163070350.277		-----          		NaN				9076060742.490
[2,10,19]      		9658156644.538		-----          		NaN				9076060742.490
[2,10,20]      		10350211342.864		-----          		NaN				9076060742.490
[2,10,21]      		10094227673.388		-----          		NaN				9076060742.490
[2,10,22]      		10476865152.354		-----          		NaN				9076060742.490
[2,10,23]      		10398928697.389		-----          		NaN				9076060742.490
[2,10,24]      		9691778090.180		-----          		NaN				9076060742.490
[2,11,12]      		9918777082.158		-----          		NaN				9076060742.490
[2,11,13]      		11421599609.346		-----          		NaN				9076060742.490
[2,11,14]      		10693626882.159		-----          		NaN				9076060742.490
[2,11,15]      		10715179325.650		-----          		NaN				9076060742.490
[2,11,16]      		10817434777.587		-----          		NaN				9076060742.490
[2,11,17]      		10370725299.705		-----          		NaN				9076060742.490
[2,11,18]      		12102791034.435		-----          		NaN				9076060742.490
[2,11,19]      		9588621916.093		-----          		NaN				9076060742.490
[2,11,20]      		9597659887.171		-----          		NaN				9076060742.490
[2,11,21]      		12363936676.708		-----          		NaN				9076060742.490
[2,11,22]      		12343800561.402		-----          		NaN				9076060742.490
[2,11,23]      		11070398026.480		-----          		NaN				9076060742.490
[2,11,24]      		9933077844.089		-----          		NaN				9076060742.490
[2,12,13]      		11022825417.853		-----          		NaN				9076060742.490
[2,12,14]      		10670299506.101		-----          		NaN				9076060742.490
[2,12,15]      		11216215194.735		-----          		NaN				9076060742.490
[2,12,16]      		10496397209.710		-----          		NaN				9076060742.490
[2,12,17]      		10289508360.990		-----          		NaN				9076060742.490
[2,12,18]      		9955858150.177		-----          		NaN				9076060742.490
[2,12,19]      		10175685779.246		-----          		NaN				9076060742.490
[2,12,20]      		10587303340.734		-----          		NaN				9076060742.490
[2,12,21]      		10027560264.633		-----          		NaN				9076060742.490
[2,12,22]      		10456246615.527		-----          		NaN				9076060742.490
[2,12,23]      		10971026174.652		-----          		NaN				9076060742.490
[2,12,24]      		10201605339.768		-----          		NaN				9076060742.490
[2,13,14]      		11159087646.676		-----          		NaN				9076060742.490
[2,13,15]      		12183645546.421		-----          		NaN				9076060742.490
[2,13,16]      		13342548148.793		-----          		NaN				9076060742.490
[2,13,17]      		12930738473.893		-----          		NaN				9076060742.490
[2,13,18]      		11320448596.163		-----          		NaN				9076060742.490
[2,13,19]      		11574118867.677		-----          		NaN				9076060742.490
[2,13,20]      		10470455107.180		-----          		NaN				9076060742.490
[2,13,21]      		11745995740.145		-----          		NaN				9076060742.490
[2,13,22]      		12519687445.624		-----          		NaN				9076060742.490
[2,13,23]      		13997429238.405		-----          		NaN				9076060742.490
[2,13,24]      		12434200341.544		-----          		NaN				9076060742.490
[2,14,15]      		10912347496.003		-----          		NaN				9076060742.490
[2,14,16]      		10853559469.893		-----          		NaN				9076060742.490
[2,14,17]      		10592315335.421		-----          		NaN				9076060742.490
[2,14,18]      		10765920703.073		-----          		NaN				9076060742.490
[2,14,19]      		10345321287.768		-----          		NaN				9076060742.490
[2,14,20]      		10602579077.176		-----          		NaN				9076060742.490
[2,14,21]      		10760432773.574		-----          		NaN				9076060742.490
[2,14,22]      		11245188489.303		-----          		NaN				9076060742.490
[2,14,23]      		10989883129.605		-----          		NaN				9076060742.490
[2,14,24]      		10421751794.768		-----          		NaN				9076060742.490
[2,15,16]      		11360577448.008		-----          		NaN				9076060742.490
[2,15,17]      		11094920167.234		-----          		NaN				9076060742.490
[2,15,18]      		10728685833.282		-----          		NaN				9076060742.490
[2,15,19]      		10644645341.469		-----          		NaN				9076060742.490
[2,15,20]      		10554509589.579		-----          		NaN				9076060742.490
[2,15,21]      		10932402060.901		-----          		NaN				9076060742.490
[2,15,22]      		11463833029.643		-----          		NaN				9076060742.490
[2,15,23]      		12128122542.291		-----          		NaN				9076060742.490
[2,15,24]      		10914473245.308		-----          		NaN				9076060742.490
[2,16,17]      		13564394087.622		-----          		NaN				9076060742.490
[2,16,18]      		10692329169.650		-----          		NaN				9076060742.490
[2,16,19]      		11746483774.683		-----          		NaN				9076060742.490
[2,16,20]      		10098819661.476		-----          		NaN				9076060742.490
[2,16,21]      		11173545764.095		-----          		NaN				9076060742.490
[2,16,22]      		11866218612.350		-----          		NaN				9076060742.490
[2,16,23]      		12823758554.435		-----          		NaN				9076060742.490
[2,16,24]      		12749698845.484		-----          		NaN				9076060742.490
[2,17,18]      		10271969400.897		-----          		NaN				9076060742.490
[2,17,19]      		11652823334.807		-----          		NaN				9076060742.490
[2,17,20]      		9911880499.607		-----          		NaN				9076060742.490
[2,17,21]      		10715358358.624		-----          		NaN				9076060742.490
[2,17,22]      		11389298659.177		-----          		NaN				9076060742.490
[2,17,23]      		12485973352.731		-----          		NaN				9076060742.490
[2,17,24]      		12657246877.434		-----          		NaN				9076060742.490
[2,18,19]      		9587576118.656		-----          		NaN				9076060742.490
[2,18,20]      		9662145725.603		-----          		NaN				9076060742.490
[2,18,21]      		11985333648.797		-----          		NaN				9076060742.490
[2,18,22]      		12074179517.295		-----          		NaN				9076060742.490
[2,18,23]      		10999054865.060		-----          		NaN				9076060742.490
[2,18,24]      		9882746038.657		-----          		NaN				9076060742.490
[2,19,20]      		9909381953.646		-----          		NaN				9076060742.490
[2,19,21]      		9756320650.961		-----          		NaN				9076060742.490
[2,19,22]      		10425186632.262		-----          		NaN				9076060742.490
[2,19,23]      		11422165071.399		-----          		NaN				9076060742.490
[2,19,24]      		11682442785.813		-----          		NaN				9076060742.490
[2,20,21]      		9649827058.207		-----          		NaN				9076060742.490
[2,20,22]      		10087424478.023		-----          		NaN				9076060742.490
[2,20,23]      		10418394972.032		-----          		NaN				9076060742.490
[2,20,24]      		9848333982.560		-----          		NaN				9076060742.490
[2,21,22]      		12783926782.933		-----          		NaN				9076060742.490
[2,21,23]      		11381237429.452		-----          		NaN				9076060742.490
[2,21,24]      		10162101195.071		-----          		NaN				9076060742.490
[2,22,23]      		12122331679.164		-----          		NaN				9076060742.490
[2,22,24]      		10897164528.766		-----          		NaN				9076060742.490
[2,23,24]      		12140107649.716		-----          		NaN				9076060742.490
[3,4,5]        		10743661637.888		-----          		NaN				9076060742.490
[3,4,6]        		10489654244.006		-----          		NaN				9076060742.490
[3,4,7]        		10068016157.085		-----          		NaN				9076060742.490
[3,4,8]        		11015592581.723		-----          		NaN				9076060742.490
[3,4,9]        		10711921715.457		-----          		NaN				9076060742.490
[3,4,10]       		10550972192.010		-----          		NaN				9076060742.490
[3,4,11]       		9915635476.968		-----          		NaN				9076060742.490
[3,4,12]       		10916346593.675		-----          		NaN				9076060742.490
[3,4,13]       		11096819617.207		-----          		NaN				9076060742.490
[3,4,14]       		11073162266.228		-----          		NaN				9076060742.490
[3,4,15]       		10983696100.033		-----          		NaN				9076060742.490
[3,4,16]       		10103064822.873		-----          		NaN				9076060742.490
[3,4,17]       		10044533637.343		-----          		NaN				9076060742.490
[3,4,18]       		9977806605.218		-----          		NaN				9076060742.490
[3,4,19]       		10441584671.888		-----          		NaN				9076060742.490
[3,4,20]       		10916835356.889		-----          		NaN				9076060742.490
[3,4,21]       		10005645004.712		-----          		NaN				9076060742.490
[3,4,22]       		10517258097.841		-----          		NaN				9076060742.490
[3,4,23]       		11035692543.699		-----          		NaN				9076060742.490
[3,4,24]       		10198511707.978		-----          		NaN				9076060742.490
[3,5,6]        		9903193123.654		-----          		NaN				9076060742.490
[3,5,7]        		9616371775.711		-----          		NaN				9076060742.490
[3,5,8]        		10924081502.560		-----          		NaN				9076060742.490
[3,5,9]        		10123102463.227		-----          		NaN				9076060742.490
[3,5,10]       		10081602564.187		-----          		NaN				9076060742.490
[3,5,11]       		9467245876.498		-----          		NaN				9076060742.490
[3,5,12]       		10276098595.103		-----          		NaN				9076060742.490
[3,5,13]       		10509762841.720		-----          		NaN				9076060742.490
[3,5,14]       		10577519659.815		-----          		NaN				9076060742.490
[3,5,15]       		10348613119.573		-----          		NaN				9076060742.490
[3,5,16]       		10179170636.389		-----          		NaN				9076060742.490
[3,5,17]       		10136606946.105		-----          		NaN				9076060742.490
[3,5,18]       		9545657584.656		-----          		NaN				9076060742.490
[3,5,19]       		10573354784.485		-----          		NaN				9076060742.490
[3,5,20]       		10383395683.491		-----          		NaN				9076060742.490
[3,5,21]       		9518718292.984		-----          		NaN				9076060742.490
[3,5,22]       		10008574566.177		-----          		NaN				9076060742.490
[3,5,23]       		10433085338.636		-----          		NaN				9076060742.490
[3,5,24]       		10195978871.529		-----          		NaN				9076060742.490
[3,6,7]        		10775575657.824		-----          		NaN				9076060742.490
[3,6,8]        		10316244672.495		-----          		NaN				9076060742.490
[3,6,9]        		11426998312.929		-----          		NaN				9076060742.490
[3,6,10]       		11273876174.065		-----          		NaN				9076060742.490
[3,6,11]       		10593437460.527		-----          		NaN				9076060742.490
[3,6,12]       		11205441382.437		-----          		NaN				9076060742.490
[3,6,13]       		10877911650.533		-----          		NaN				9076060742.490
[3,6,14]       		11406831249.492		-----          		NaN				9076060742.490
[3,6,15]       		11247469241.848		-----          		NaN				9076060742.490
[3,6,16]       		9374515522.192		-----          		NaN				9076060742.490
[3,6,17]       		9313073355.192		-----          		NaN				9076060742.490
[3,6,18]       		10702775191.369		-----          		NaN				9076060742.490
[3,6,19]       		9586836712.158		-----          		NaN				9076060742.490
[3,6,20]       		11350221871.707		-----          		NaN				9076060742.490
[3,6,21]       		10578968658.797		-----          		NaN				9076060742.490
[3,6,22]       		10954728760.434		-----          		NaN				9076060742.490
[3,6,23]       		10821817934.165		-----          		NaN				9076060742.490
[3,6,24]       		9398122504.353		-----          		NaN				9076060742.490
[3,7,8]        		10046341775.324		-----          		NaN				9076060742.490
[3,7,9]        		10763241741.186		-----          		NaN				9076060742.490
[3,7,10]       		10956397427.238		-----          		NaN				9076060742.490
[3,7,11]       		10742375293.706		-----          		NaN				9076060742.490
[3,7,12]       		10601171703.336		-----          		NaN				9076060742.490
[3,7,13]       		10459366166.281		-----          		NaN				9076060742.490
[3,7,14]       		11111946594.549		-----          		NaN				9076060742.490
[3,7,15]       		10641661785.782		-----          		NaN				9076060742.490
[3,7,18]       		10866857553.794		-----          		NaN				9076060742.490
[3,7,19]       		9281560953.345		-----          		NaN				9076060742.490
[3,7,20]       		10851721646.221		-----          		NaN				9076060742.490
[3,7,21]       		10748618522.576		-----          		NaN				9076060742.490
[3,7,22]       		10974303918.534		-----          		NaN				9076060742.490
[3,7,23]       		10370613722.482		-----          		NaN				9076060742.490
[3,8,9]        		10528169608.801		-----          		NaN				9076060742.490
[3,8,10]       		10524139338.674		-----          		NaN				9076060742.490
[3,8,11]       		9899348433.349		-----          		NaN				9076060742.490
[3,8,12]       		10658116121.306		-----          		NaN				9076060742.490
[3,8,13]       		10825853683.529		-----          		NaN				9076060742.490
[3,8,14]       		10991927395.940		-----          		NaN				9076060742.490
[3,8,15]       		10733321250.343		-----          		NaN				9076060742.490
[3,8,16]       		10257546827.195		-----          		NaN				9076060742.490
[3,8,17]       		10188529156.600		-----          		NaN				9076060742.490
[3,8,18]       		9983277696.125		-----          		NaN				9076060742.490
[3,8,19]       		10575567878.193		-----          		NaN				9076060742.490
[3,8,20]       		10781290515.479		-----          		NaN				9076060742.490
[3,8,21]       		9941301900.467		-----          		NaN				9076060742.490
[3,8,22]       		10428885721.011		-----          		NaN				9076060742.490
[3,8,23]       		10745915101.793		-----          		NaN				9076060742.490
[3,8,24]       		10232354899.326		-----          		NaN				9076060742.490
[3,9,10]       		11306587234.846		-----          		NaN				9076060742.490
[3,9,11]       		10591031478.084		-----          		NaN				9076060742.490
[3,9,12]       		11421290771.742		-----          		NaN				9076060742.490
[3,9,13]       		11116282840.617		-----          		NaN				9076060742.490
[3,9,14]       		11540328863.493		-----          		NaN				9076060742.490
[3,9,15]       		11511898962.116		-----          		NaN				9076060742.490
[3,9,16]       		9599180949.730		-----          		NaN				9076060742.490
[3,9,17]       		9496929239.226		-----          		NaN				9076060742.490
[3,9,18]       		10690248487.024		-----          		NaN				9076060742.490
[3,9,19]       		9805478444.439		-----          		NaN				9076060742.490
[3,9,20]       		11518784677.018		-----          		NaN				9076060742.490
[3,9,21]       		10607532099.566		-----          		NaN				9076060742.490
[3,9,22]       		11012099380.428		-----          		NaN				9076060742.490
[3,9,23]       		11064909569.483		-----          		NaN				9076060742.490
[3,9,24]       		9596063934.786		-----          		NaN				9076060742.490
[3,10,11]      		10738139491.632		-----          		NaN				9076060742.490
[3,10,12]      		11203800013.389		-----          		NaN				9076060742.490
[3,10,13]      		10947841806.640		-----          		NaN				9076060742.490
[3,10,14]      		11571062719.032		-----          		NaN				9076060742.490
[3,10,15]      		11216251491.962		-----          		NaN				9076060742.490
[3,10,16]      		9534780237.378		-----          		NaN				9076060742.490
[3,10,17]      		9432790641.739		-----          		NaN				9076060742.490
[3,10,18]      		10843044462.012		-----          		NaN				9076060742.490
[3,10,19]      		9732502743.456		-----          		NaN				9076060742.490
[3,10,20]      		11452105615.843		-----          		NaN				9076060742.490
[3,10,21]      		10698380095.048		-----          		NaN				9076060742.490
[3,10,22]      		11057848208.532		-----          		NaN				9076060742.490
[3,10,23]      		10884415508.724		-----          		NaN				9076060742.490
[3,10,24]      		9498576339.438		-----          		NaN				9076060742.490
[3,11,12]      		10442019129.216		-----          		NaN				9076060742.490
[3,11,13]      		10324942941.048		-----          		NaN				9076060742.490
[3,11,14]      		10946430220.654		-----          		NaN				9076060742.490
[3,11,15]      		10481320539.685		-----          		NaN				9076060742.490
[3,11,18]      		10925790515.933		-----          		NaN				9076060742.490
[3,11,19]      		9130659119.164		-----          		NaN				9076060742.490
[3,11,20]      		10667898424.279		-----          		NaN				9076060742.490
[3,11,21]      		10897899886.642		-----          		NaN				9076060742.490
[3,11,22]      		10929462847.955		-----          		NaN				9076060742.490
[3,11,23]      		10232355746.813		-----          		NaN				9076060742.490
[3,12,13]      		11270361344.749		-----          		NaN				9076060742.490
[3,12,14]      		11487674112.243		-----          		NaN				9076060742.490
[3,12,15]      		11635207800.547		-----          		NaN				9076060742.490
[3,12,16]      		9723819000.911		-----          		NaN				9076060742.490
[3,12,17]      		9641676970.368		-----          		NaN				9076060742.490
[3,12,18]      		10521786580.700		-----          		NaN				9076060742.490
[3,12,19]      		9973625084.464		-----          		NaN				9076060742.490
[3,12,20]      		11603325936.236		-----          		NaN				9076060742.490
[3,12,21]      		10477957124.743		-----          		NaN				9076060742.490
[3,12,22]      		10906809886.430		-----          		NaN				9076060742.490
[3,12,23]      		11227232019.657		-----          		NaN				9076060742.490
[3,12,24]      		9775184791.305		-----          		NaN				9076060742.490
[3,13,14]      		11469279879.971		-----          		NaN				9076060742.490
[3,13,15]      		11398244259.490		-----          		NaN				9076060742.490
[3,13,16]      		10089159649.132		-----          		NaN				9076060742.490
[3,13,17]      		10018743683.484		-----          		NaN				9076060742.490
[3,13,18]      		10406314772.698		-----          		NaN				9076060742.490
[3,13,19]      		10276216904.404		-----          		NaN				9076060742.490
[3,13,20]      		11316030823.275		-----          		NaN				9076060742.490
[3,13,21]      		10402995066.956		-----          		NaN				9076060742.490
[3,13,22]      		10914042633.850		-----          		NaN				9076060742.490
[3,13,23]      		11726675756.355		-----          		NaN				9076060742.490
[3,13,24]      		10163133073.697		-----          		NaN				9076060742.490
[3,14,15]      		11545701335.298		-----          		NaN				9076060742.490
[3,14,16]      		10043675800.696		-----          		NaN				9076060742.490
[3,14,17]      		9948423860.116		-----          		NaN				9076060742.490
[3,14,18]      		11029092836.804		-----          		NaN				9076060742.490
[3,14,19]      		10256583940.118		-----          		NaN				9076060742.490
[3,14,20]      		11748061389.579		-----          		NaN				9076060742.490
[3,14,21]      		11032218872.427		-----          		NaN				9076060742.490
[3,14,22]      		11524509335.817		-----          		NaN				9076060742.490
[3,14,23]      		11376998024.193		-----          		NaN				9076060742.490
[3,14,24]      		10026466091.433		-----          		NaN				9076060742.490
[3,15,16]      		9801823651.387		-----          		NaN				9076060742.490
[3,15,17]      		9718118054.759		-----          		NaN				9076060742.490
[3,15,18]      		10573828446.017		-----          		NaN				9076060742.490
[3,15,19]      		10044246430.858		-----          		NaN				9076060742.490
[3,15,20]      		11587308394.226		-----          		NaN				9076060742.490
[3,15,21]      		10531741826.401		-----          		NaN				9076060742.490
[3,15,22]      		10976189314.571		-----          		NaN				9076060742.490
[3,15,23]      		11357507989.776		-----          		NaN				9076060742.490
[3,15,24]      		9835559914.395		-----          		NaN				9076060742.490
[3,16,17]      		10249142447.550		-----          		NaN				9076060742.490
